,管理No,PQ,index_in_管理No,delta,theta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,emg
0,FTD130010,0,1,88.04661980127332,39.2699056630981,13.314525883253378,3.599189377717792,11.717557216795862,38.0080114204216,17.27413892527703,8.428891628929218,2.661584524594095
1,FTD130010,0,2,69.96451234012159,36.798176982583975,13.526559888510244,3.294343484174941,9.533173338824593,25.30016166892202,20.43010278606566,9.633633842812799,3.9933970343125753
2,FTD130010,0,3,39.48377591882649,35.61681725076435,18.491044833616694,8.797274330466696,16.285031675982808,39.19524871697049,22.127326852474727,10.102862798993645,4.679684652603673
3,FTD130010,0,4,93.28867993574985,28.31097911103529,11.11462648756848,8.081405256642121,13.814258536775753,32.6069007642223,14.246930020714162,5.900168061530834,3.299965479554157
4,FTD130010,0,5,21.384883608338612,9.648057929249227,3.9066551615958,7.640565361571612,14.611788981209832,33.164266661441914,18.402321705142654,4.016228351093025,1.4525919414798079
5,FTD130010,0,6,13.58559658390746,17.260907243618966,11.07018760980803,9.476406414677372,18.966725998551258,38.52394977929433,13.059235028786453,4.883889018329166,2.4101587983678283
6,FTD130010,0,7,56.91559037863702,18.582526923264147,19.106192081024204,7.420095400869281,22.674050121057487,27.77541495476925,15.83456184798699,4.633524998581795,2.154295170733401
7,FTD130010,0,8,53.43691885003727,21.550429651532696,6.7445424393815845,4.337686716349665,12.75838070608569,38.78686292314992,17.694274856305174,5.710974079547475,4.173652600155813
8,FTD130010,0,9,25.69087823796221,13.59053829956957,8.84124153142228,3.857609353044107,10.038237061191627,25.80622284427883,14.158512929699825,5.542774253096027,2.133858541117058
9,FTD130010,0,10,33.38603252220008,18.558747546089133,9.409565427452574,6.225620620084312,17.81209507567175,36.339508719677156,11.641828324258192,6.496305039444266,1.6308365314605064
10,FTD130010,0,11,38.624959544202746,14.98502549384667,11.034926541083795,5.216913196689863,14.42727022479824,29.326813514250155,12.904664275671081,8.707953260735191,3.2473785712222374
11,FTD130010,0,12,36.13166911277143,27.14461421036861,4.191355769804555,13.015353874509817,15.300854073522038,36.92943549251125,10.853540716909652,12.108266091044644,2.849287365608212
12,FTD130010,0,13,17.15722975418872,16.216265847401516,10.754128263984093,6.471620766058425,14.703550071508294,39.10790729648425,25.11020731882789,11.625086762535334,2.6766780888649655
13,FTD130010,0,14,19.233243737610167,22.47113567936787,20.93520505188348,11.087221546460016,14.184844887579537,27.420020379424642,18.886795492928208,7.241335502844036,2.6074620938705158
14,FTD130010,0,15,26.700137867902438,18.855680634978544,15.824889072790828,12.304862367837194,23.78248013400802,32.88222110800138,18.586695582149176,6.527245816265504,1.7954551793974574
15,FTD130010,0,16,39.96183092428795,19.01734156866062,13.854820670350678,8.960705120992621,11.58665376332474,34.38703091582844,19.66710503122839,9.57996047039003,0.7509795185666682
16,FTD130010,0,17,26.844116009673826,16.491461619397292,19.93064241175944,5.804171223173608,12.055053117463881,44.7669864887815,21.032128983413678,7.801863141228933,1.4844494306532932
17,FTD130010,0,18,49.90407734708694,30.466141443862575,19.40133856163561,5.73152384265459,10.381995202541297,42.24396913091113,18.068198715910242,6.620612979356005,4.050830961720783
18,FTD130010,0,19,48.3736510327542,23.782065765389014,10.060634348973212,10.200524723481898,15.929923364104477,34.452634269031655,15.598372572575268,6.89163708730542,3.024690700212265
19,FTD130010,0,20,38.3571700056349,18.8694926936134,8.860798668729453,5.493070902668285,9.687923124540571,39.20146322302672,19.85847153282237,12.893735884293442,2.0500800245568156
20,FTD130010,0,21,22.002599250194795,9.251889370162857,7.108706176034874,8.410378836365016,11.241726948118579,30.624557064243657,14.96242507137568,4.38998334346708,2.29542734808245
21,FTD130010,0,22,47.66724282736925,16.975229518297223,7.266537298093178,6.24359463905034,13.074068324971694,38.871004549148346,15.770763097362074,7.588425453376863,3.7778492505291394
22,FTD130010,0,23,73.34117080844021,38.21815339435108,14.521267796759586,9.050796427786175,26.632503068820476,38.869906275895424,16.30793073186305,5.6997275595808325,4.305772526949672
23,FTD130010,0,24,30.950316344861164,14.130312100499697,6.448622609187286,10.192205645588967,9.127636540927565,27.0042702288722,19.27981009722849,5.699838778497403,1.3056869853692123
24,FTD130010,0,25,17.024063540413056,7.695863861497325,11.626816680246932,5.409683085309914,8.121389011785851,22.82090260244985,11.583431766294202,4.459967777203935,1.1942858364456925
25,FTD130010,0,26,14.681892928073017,17.67075488610521,12.194118843958151,5.920887052528645,19.746390407618023,28.602585426366197,24.107371481642833,9.747401078704238,4.016593289475382
26,FTD130010,0,27,58.78081154919994,26.758272563052607,13.12397934954079,4.222754864160933,15.272960736163464,23.98649855015696,22.80668120675694,9.766178265200233,3.0771794613180687
27,FTD130010,0,28,19.602586800669123,10.321057908129136,7.577661989164596,5.805718129075531,11.350302531379759,30.27073797208467,12.190074481314099,6.519232682947227,2.3840510658069443
28,FTD130010,0,29,25.162070383386354,19.090250446437214,7.095463016519222,6.933969434523096,13.807903531335384,49.72154248511451,39.463431905021864,11.909340666810138,2.0285173018326534
29,FTD130010,0,30,77.1936571624927,45.81803378732415,10.4509443371683,7.584484163511626,20.07706592943349,49.32567459474667,46.541579159076335,20.120530810702963,6.108579923134973
30,FTD130010,0,31,19.465678353669368,16.885934060179654,10.617542544550957,9.490190567120205,11.786539897943598,44.70557409109591,36.96160137107992,11.920013356302983,1.7208582428311736
31,FTD130010,0,32,284.85334133793526,52.83915194893923,19.2218929115407,8.23408733992429,34.29840839610961,83.54204017546253,105.33784848612828,59.71843423273404,10.61924177321018
32,FTD130010,26,33,332.66758262891807,70.75083467093074,26.99456192946938,19.671536642990866,32.58891924196932,99.44378130736264,66.03104826012225,41.43248220299563,14.678855331404206
33,FTD130010,26,34,85.56157934158587,37.017499767538204,14.578777426461247,7.428689675285472,10.720921151962933,38.42421337480135,12.673078503126241,11.874618221018995,4.998306197364681
34,FTD130010,0,35,57.9407518573343,13.91669596030182,15.32605630982562,12.00490816986823,18.180440155759715,38.7551249904209,19.619058258974576,9.179958338367914,4.244212482815214
35,FTD130010,0,36,60.9091750246289,20.093166883051047,8.000477765960886,8.413559636647628,23.40379586741222,41.999179217602816,35.909915319801954,16.97094660650196,4.879804227004023
36,FTD130010,0,37,187.1845041430158,67.29507837350873,15.328938064806302,11.298385426227519,22.441395525133178,103.92453141160325,112.55665041590728,59.119306384266224,14.805456743361846
