,管理No,PQ,index_in_管理No,delta,theta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,emg
0,FTD131010,0,1,79.68780256529429,35.18687612191707,14.981353245406392,7.0781901111378716,14.769820078754673,45.34276180289445,16.149168514386457,7.3957082883820116,3.436909064050883
1,FTD131010,0,2,185.8642288946911,44.959519350498894,11.072292804389445,13.040088616844656,24.642994840046512,39.16124085149678,17.772335119469524,12.444800146177762,5.210894348138439
2,FTD131010,0,3,77.3441160284774,24.38411720175051,15.024371691587817,8.672200956749164,15.75926620429907,31.671737748506498,22.04402568835749,8.131243757486832,1.6965809331848094
3,FTD131010,0,4,22.410570852624126,28.39538604985119,13.964566504284026,6.065544021390277,8.539861882941166,33.6591478868201,20.371761088125588,7.01618167241554,0.8619336761883205
4,FTD131010,0,5,65.93272170858326,18.706666569095123,6.6579520601011914,9.376719018927755,17.14518212363324,41.302614930564964,23.169800709764203,7.522077382762842,2.575106809018382
5,FTD131010,0,6,32.612288951527425,13.446279789076273,15.861845877354499,5.064897822520805,18.643949183175597,37.24729523653403,28.985838509721,7.820585906033722,1.9120849295536066
6,FTD131010,0,7,25.553900690777372,19.988453768792127,10.888181277087568,8.768494375798564,16.1843127827581,39.860902259655845,29.24340293476685,9.43062116385801,2.844957284888749
7,FTD131010,0,8,67.85088095423629,23.864525270774575,18.503843301551527,18.26042456155237,18.160954653346167,49.1981333802938,38.772271270635486,12.339861418703567,3.4253377213144263
8,FTD131010,0,9,18.96986029337787,17.766749117884384,11.772978440895569,12.757694748205608,12.657000730718224,49.65632302168723,32.86524683463547,10.196328904129897,2.6430283587784658
9,FTD131010,0,10,69.32959199627136,25.18269009868854,17.020943014220844,9.749615074326766,13.282004796586513,32.03400904448279,39.65030668137281,8.885148641893785,3.9472119384377944
10,FTD131010,0,11,38.27377894421305,11.722364533859079,14.053782305912588,8.673456767343353,15.441773182580116,45.54578234530795,30.238292295257697,10.581845759176018,1.4421592300955302
11,FTD131010,0,12,16.406232326731793,18.167082556506813,11.620446354739377,6.27623208264509,9.093552977158055,44.99040144030272,27.95324375596629,13.37159188391503,2.7856437237589233
12,FTD131010,0,13,25.605677832393813,18.583782009274163,14.10329649046714,10.931146362205277,16.985037999815287,47.87760117111416,28.421272575438365,11.427596486978885,2.985362187735099
13,FTD131010,0,14,50.52457654179224,28.843045160627327,9.41941364087241,4.739406056654686,13.954526959981116,63.569977060081165,21.695066412585142,12.655070674179049,4.38012442668134
14,FTD131010,0,15,66.28290009188375,25.374030460859075,18.738564667396137,11.463097630921066,12.079392990690065,43.52224450667788,26.49652774932156,15.499406890112981,4.862439511316802
15,FTD131010,0,16,11.555799351365096,12.391277883251545,6.891519575466837,11.676731325646223,14.436660083650239,43.95206322835658,24.357699440676797,8.253336352261226,2.40404055776465
16,FTD131010,0,17,63.430456640730064,23.49008494708426,9.854624784611758,14.427352272358196,18.151306900713116,44.782352449475,25.515656256245727,14.444995129033655,5.785432213136171
17,FTD131010,0,18,41.461663843896794,34.046143226173584,12.400170084819765,13.96849382537819,11.16494274366026,54.97891372793769,21.893577783025858,16.19404326254544,6.107099391216871
18,FTD131010,0,19,22.91717149614168,14.947078541806743,12.959597581284608,7.448616846464575,11.465122396761613,40.80548777342562,26.065695816999973,13.035981587812461,1.6752463409434473
19,FTD131010,0,20,20.807881636190732,32.6171806784326,9.113383874126853,5.438827717410037,18.37764132456071,54.350889300107454,30.617751507431137,7.19814999531495,2.305027831584408
20,FTD131010,0,21,60.61021638788949,23.503518777325997,10.087657920074152,14.743739891870854,21.712988655207017,57.8160812656217,33.7663239655445,10.121332985688923,3.123281828766241
21,FTD131010,0,22,55.40807008149934,25.394689802092294,17.230654261664675,9.201590347345984,21.222403154303105,57.97214753676342,30.29675743858473,11.653445082517521,2.7928779742026464
22,FTD131010,0,23,16.57416506680462,17.373482405530495,7.0088993519172424,5.511682132391531,10.298965504253108,44.59835207102737,32.414090138434446,13.601848070352123,1.7472986644333863
23,FTD131010,0,24,11.276290599802342,16.935046359229954,11.492502753310932,14.387047681745337,21.277851161303946,55.824923743998305,35.2220705159376,15.291185702748896,6.3749485677479525
24,FTD131010,0,25,61.47712410795294,31.533121732255154,9.97146301026965,11.20951578147557,11.095877936550956,59.12694279542709,31.39391030775456,16.33895819737085,5.600626114919049
25,FTD131010,0,26,24.248082826251732,20.30605207100306,14.026928395298695,10.326396515055436,18.59144141662226,55.36577311366637,35.404479527399914,13.040819014660318,4.07724186139449
26,FTD131010,0,27,67.82766725665938,31.650943643857357,8.22266732607049,11.17390184568426,17.198984083059578,48.69810871184216,23.888142881816705,12.195938469002282,4.535138563509584
27,FTD131010,0,28,55.553347315215774,19.8628020229279,17.237689192633912,8.62881417808104,14.847430804693886,46.2067620099258,23.159366009101298,15.424140006223869,3.8590596051825568
28,FTD131010,0,29,33.95811869389088,27.94233063290041,15.560392971054263,11.71142667687039,7.31191046568186,50.0464870459651,44.852941846693554,12.620992251665669,4.348755958123771
29,FTD131010,0,30,16.315282528247025,16.361782771825812,16.336860046471877,5.4681489659808715,25.12945880201177,51.0042026383851,28.6417036733162,10.318646683206836,2.6330620790949775
30,FTD131010,26,31,24.73709194546174,33.25035057215072,17.339526512635832,10.822521216324576,24.99794516292246,57.90399121753997,44.66410439391392,28.579597751926947,11.327450439821082
31,FTD131010,26,32,100.4046097357896,35.518468163101296,30.630613641185214,20.049165845118246,78.22534273717682,326.82562531364016,349.8807857883172,120.7036460097304,11.997773365059293
32,FTD131010,0,33,31.04251378794624,13.120085838674274,3.0807957339644534,4.918570767428216,13.611053211133486,46.92873800249143,23.44671000783398,10.395000986339,3.464461835942733
33,FTD131010,0,34,40.05135957857764,30.50287996363854,14.611977946598204,10.302568382246612,15.013914050253272,40.85128049067674,37.87126063974617,11.612501259950577,2.486735455758299
34,FTD131010,0,35,76.89373578478569,30.601395859572268,16.448880288996328,11.333585679088372,23.6112012277346,41.29707017625429,29.91793357329231,7.653733301831821,2.7748135986072744
35,FTD131010,0,36,97.98260425970412,28.641856511835968,21.01719894297138,6.68073385859278,12.54445627718289,47.6798730948996,28.513950712691514,10.823263272296757,2.805463545031976
36,FTD131010,26,37,145.8758337426066,60.3296993342395,25.263879449402033,23.278863599395514,54.668149790889984,204.5102881951218,337.6560227855339,121.1172569999546,4.043180924111258
37,FTD131010,26,38,135.73643801733775,42.78353888017719,27.73030598447105,8.047375969768808,15.258290610160895,57.88601383391409,51.59003114758018,26.929116925129634,8.002919199540997
38,FTD131010,26,39,97.96379285226965,34.64703999023738,17.718514031169754,12.637547932026743,20.88445973022431,73.7134811494055,30.636651716041307,13.597850686535185,5.770556524276717
39,FTD131010,0,40,37.591990629346554,23.686347641933274,12.747747087081907,8.09432400212389,18.35848618610226,28.588245270527707,34.936071800591876,13.895291066921704,3.0398662606863973
40,FTD131010,0,41,58.077327364683086,25.105699804498038,8.912804271840818,10.313239675763862,13.960604940008993,49.71605045897361,36.122949845053704,16.822359754742365,2.911714927447915
