,管理No,PQ,index_in_管理No,delta,theta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,emg
0,FTD120010,0,1,73.17543972139279,24.309297111127098,10.597086219521547,6.9336452089135205,24.699734867269903,52.69095067698197,25.652540543092563,9.247859052900678,3.1173594287024167
1,FTD120010,0,2,81.68600270873266,28.115077943665195,18.184694270267155,14.300511677135955,20.00555940705741,36.06107068078991,28.151258734406586,12.134313514526564,3.862347523973608
2,FTD120010,0,3,60.910657291339135,17.651117048156024,17.753158625815125,16.19497425225566,17.4917370168347,55.37317616405039,33.895792105945574,10.956100682229215,1.93612228910035
3,FTD120010,0,4,70.537528617219,25.349475607524955,14.005461682164603,5.263043051538608,20.713630201902077,43.191726425575894,23.0435263182678,12.620574369549344,3.14975495344285
4,FTD120010,0,5,19.395490911020048,21.67031582657508,15.257166592227566,10.738252370030743,18.894290703859095,39.123942774176506,18.180814519458828,9.863062888588267,2.813023489575379
5,FTD120010,0,6,71.53979639274195,24.227294057018113,10.184434938492513,6.7755528781025,16.577736778975275,43.31168654599663,30.243544480623143,9.02135252932947,3.927361794243536
6,FTD120010,0,7,19.22367296611416,13.152439506784393,12.989707159386388,7.49883718194518,12.255098166373864,35.75370292706136,27.217459375523198,13.57084181689017,1.604088252462741
7,FTD120010,0,8,22.54362233109591,10.33884530730872,7.1028131509464245,2.2966415129058744,8.364149774293553,46.833834492909915,24.882820561164248,13.480635698448348,2.656549476265229
8,FTD120010,0,9,68.15503378394754,24.716396320317966,9.08973277069655,6.655834878922111,13.441729211489879,48.51971862835462,38.63367704800082,8.255075740275458,3.306425864016426
9,FTD120010,0,10,30.807801201822926,10.78140050169521,11.117168966495619,6.237351600486665,13.128403347377922,34.01552521065918,25.20107664336524,6.876072152950482,1.321058464027947
10,FTD120010,0,11,14.859713870540602,14.788069069505893,9.217714902527053,3.911350326523462,19.298004835404157,39.06863898779448,36.45861432355733,9.223056242597972,1.8567906509952639
11,FTD120010,0,12,28.527675331245153,29.641907984834464,12.006803377749161,17.637642886944406,20.60203075513659,44.88792820167073,25.2634103793631,13.299021370321277,1.261781150384556
12,FTD120010,0,13,8.28284254614516,17.442957970650806,17.298314185354243,7.664096036437273,29.601806414900544,45.24667498089003,27.391958166952577,8.840921998086685,1.7152593603528064
13,FTD120010,0,14,12.749704502196519,20.851121506126482,22.456679965662534,14.319077067980588,24.289262012774778,44.327713280333455,31.1635609772627,12.0425854579427,3.323242659580728
14,FTD120010,0,15,16.64543041327696,19.772779803476126,16.6527775235499,13.680973465261662,9.151700429476026,52.17290722469856,36.80476713305071,15.095727263954473,4.21857882423694
15,FTD120010,0,16,15.919758037968148,22.288214248297233,15.88257668840193,9.829232862220596,17.88982242727113,46.41494678761787,27.341654064491046,16.45983777284956,2.423505712440699
16,FTD120010,0,17,24.804412966094382,21.85922419337546,15.353705793914298,17.459428087028254,15.824189951714134,47.49636813897088,30.818947106499017,11.258256938287824,1.9644119223136476
17,FTD120010,0,18,36.41815430679907,36.94653648328358,15.294023976643388,11.25491688174412,13.774646822110508,48.95583390273075,35.278250915119344,9.227911511871302,3.4673911090091005
18,FTD120010,0,19,12.338526901074575,20.38850570153386,25.07781900646883,5.432600633250174,22.11794325020812,46.797624033328496,24.791824386882443,6.481152609126898,1.1940304545232183
19,FTD120010,0,20,27.088793904158035,18.68417407075976,17.429985503748917,9.216261799001876,11.481037405369081,41.223584739370224,35.170602474096114,10.614288498865644,1.4179383941116765
20,FTD120010,0,21,26.51472477963665,29.545746723440466,14.541478315501271,17.3336685526165,26.127896930392932,46.09048123061836,28.340628282984238,14.275057657061254,2.950839413683588
21,FTD120010,0,22,26.40674741479476,25.56909194088587,12.669253562818724,10.927232466734333,9.671379351527593,38.9995556981405,32.93517860932868,12.466351837010757,5.317077400594095
22,FTD120010,0,23,35.81738391452788,13.806266517696939,21.422472879269698,5.761459640978144,16.68879208038586,48.88488841663061,26.010932123302542,10.043664014556938,2.8270113015810714
23,FTD120010,0,24,19.53191289775103,20.610908222082003,27.14037495349357,4.936426972058891,19.70267477422362,33.233815473345736,29.932248155728896,8.445909474037046,0.7317120920314916
24,FTD120010,0,25,78.17950985438611,25.151452513391927,17.0884791732094,10.072009050203803,21.93257252433193,47.5389340554083,22.45159099742577,8.472339556697113,2.6439288111548334
